session_id,date,exercise,total_duration_min,heart_rate_avg,calories_burned,notes,sets_json
1778806404.92691,2026-05-15T05:53:24.926910,Squat,0,,,"Emotion: sad, Fatigue: Normal",[]
1778806827.665208,2026-05-15T06:00:27.665208,Squat,0,,,"Emotion: Unknown, Fatigue: Normal",[]
1778807630.646803,2026-05-15T06:13:50.646803,Squat,0,,,"Emotion: neutral, Fatigue: Normal",[]
1778807630.971695,2026-05-15T06:13:50.971695,Squat,0,,,"Emotion: Unknown, Fatigue: Normal",[]
1778807631.309723,2026-05-15T06:13:51.309723,Squat,0,,,"Emotion: neutral, Fatigue: Normal",[]
1778808165.917592,2026-05-15T06:22:45.917592,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.031107,2026-05-15T06:22:46.031107,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.120843,2026-05-15T06:22:46.120843,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.181813,2026-05-15T06:22:46.181813,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.255048,2026-05-15T06:22:46.255048,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.31355,2026-05-15T06:22:46.313550,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.374241,2026-05-15T06:22:46.374241,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.4289,2026-05-15T06:22:46.428900,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.476971,2026-05-15T06:22:46.476971,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.546455,2026-05-15T06:22:46.546455,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.628224,2026-05-15T06:22:46.628224,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.68743,2026-05-15T06:22:46.687430,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.742432,2026-05-15T06:22:46.742432,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.826269,2026-05-15T06:22:46.826269,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.887281,2026-05-15T06:22:46.887281,Squat,0,,120.0,Fatigue: Normal,[]
1778808166.942247,2026-05-15T06:22:46.942247,Squat,0,,120.0,Fatigue: Normal,[]
